Date,Thai 25%_spread_usd,Thai 25%_spread_pct,Thai 25%_spread_ma12,Thai A.1_spread_usd,Thai A.1_spread_pct,Thai A.1_spread_ma12,Vietnamese 5%_spread_usd,Vietnamese 5%_spread_pct,Vietnamese 5%_spread_ma12,Thai 5%_price,Thai 5%_price_ma12,Thai 25%_price,Thai 25%_price_ma12,Thai A.1_price,Thai A.1_price_ma12,Vietnamese 5%_price,Vietnamese 5%_price_ma12
2015-05-01,13.0,3.4120734908136483,23.583333333333332,-5.529999999999973,-1.4514435695537986,-6.194166666666665,30.0,7.874015748031496,20.410833333333333,381.0,415.8333333333333,368.0,392.25,386.53,422.0275,351.0,395.42249999999996
2015-06-01,11.0,2.925531914893617,21.083333333333332,0.05000000000001137,0.013297872340428554,-5.725833333333331,27.0,7.180851063829788,23.285833333333333,376.0,414.0833333333333,365.0,393.0,375.95,419.80916666666667,349.0,390.79749999999996
2015-07-01,16.0,4.081632653061225,18.5,2.1399999999999864,0.5459183673469352,-4.4316666666666675,46.22000000000003,11.790816326530619,27.043333333333337,392.0,411.5833333333333,376.0,393.0833333333333,389.86,416.01500000000004,345.78,384.53999999999996
2015-08-01,11.0,2.949061662198391,16.833333333333332,-4.5,-1.2064343163538873,-3.5091666666666677,32.870000000000005,8.812332439678286,29.584166666666672,373.0,405.5833333333333,362.0,388.75,377.5,409.09250000000003,340.13,375.99916666666667
2015-09-01,10.0,2.801120448179272,15.916666666666666,-3.0,-0.8403361344537815,-2.2666666666666657,30.569999999999993,8.563025210084032,32.96916666666667,357.0,399.3333333333333,347.0,383.4166666666667,360.0,401.59999999999997,326.43,366.3641666666667
2015-10-01,11.0,2.949061662198391,15.25,3.730000000000018,1.0000000000000049,-1.1583333333333314,30.600000000000023,8.20375335120644,36.26583333333334,373.0,394.75,362.0,379.5,369.27,395.9083333333333,342.4,358.4841666666667
2015-11-01,9.0,2.4456521739130435,14.5,1.759999999999991,0.47826086956521496,-0.5283333333333312,14.389999999999986,3.910326086956518,37.79833333333334,368.0,390.5833333333333,359.0,376.0833333333333,366.24,391.1116666666667,353.61,352.785
2015-12-01,7.0,1.9283746556473829,13.416666666666666,2.759999999999991,0.7603305785123942,-0.03333333333333144,-8.0,-2.203856749311295,34.16416666666667,363.0,386.0,356.0,372.5833333333333,360.24,386.03333333333336,371.0,351.8358333333333
2016-01-01,8.0,2.168021680216802,12.416666666666666,2.8100000000000023,0.7615176151761524,0.08000000000000303,4.089999999999975,1.1084010840108334,30.706666666666667,369.0,381.75,361.0,369.3333333333333,366.19,381.67,364.91,351.04333333333335
2016-02-01,10.0,2.604166666666667,11.583333333333334,6.6200000000000045,1.7239583333333346,0.3816666666666701,23.870000000000005,6.216145833333334,27.15416666666667,384.0,378.75,374.0,367.1666666666667,377.38,378.36833333333334,360.13,351.59583333333336
2016-03-01,9.0,2.34375,10.833333333333334,9.100000000000023,2.3697916666666723,1.2233333333333387,23.80000000000001,6.19791666666667,25.032500000000002,384.0,376.5833333333333,375.0,365.75,374.9,375.35999999999996,360.2,351.5508333333333
2016-04-01,9.0,2.278481012658228,10.333333333333334,11.470000000000027,2.903797468354437,2.2841666666666733,24.0,6.075949367088607,23.284166666666668,395.0,376.25,386.0,365.9166666666667,383.53,373.96583333333336,371.0,352.96583333333336
2016-05-01,18.0,4.157043879907621,10.75,18.620000000000005,4.300230946882218,4.296666666666671,55.69,12.861431870669746,25.425,433.0,380.5833333333333,415.0,369.8333333333333,414.38,376.2866666666667,377.31,355.1583333333333
2016-06-01,19.0,4.308390022675737,11.416666666666666,14.20999999999998,3.2222222222222174,5.476666666666669,68.54000000000002,15.54195011337869,28.88666666666667,441.0,386.0,422.0,374.5833333333333,426.79,380.52333333333337,372.46,357.1133333333333
